NAME,CODE,thirteen,twelve,eleven,ten,nine,eight,seven
Newfoundland and Labrador,CA05,7,3,4,4,1,5,3
Prince Edward Island,CA09,1,0,1,0,0,2,0
Nova Scotia,CA07,13,17,22,21,15,12,13
New Brunswick,CA04,7,6,8,9,12,3,8
Quebec,CA10,68,108,105,84,88,92,90
Ontario,CA08,166,162,161,189,178,176,202
Manitoba,CA03,49,52,53,45,57,54,61
Saskatchewan,CA11,30,29,38,34,36,30,30
Alberta,CA01,82,85,109,77,95,110,88
British Columbia,CA02,76,71,87,83,118,117,88
Yukon,CA12,0,0,0,1,2,3,2
Northwest Territories,CA06,2,5,3,1,2,3,2
Nunavut,CA13,4,5,7,6,6,4,7
